tweets,label,preprocess_tweets
RT @LabourHomeTeam: Campaigning with Labour IN @andyburnhammp in Cheadle talking to voters about the importance of voting #Remain https://t…,stay,rt : campaigning with labour in in cheadle talking to voters about the importance of voting <hashtag> <url> …
The Leave campaign plan for #Brexit is: “we just don't know”. Please RT so everybody knows the UK is #StrongerIn https://t.co/Nb8FTXjppH,stay,the leave campaign plan for <hashtag> is : “ we just don't know ” please rt so everybody knows the uk is <hashtag> <url>
"Labour’s Tom Watson: Workers' rights, the economy &amp; our security are all at stake on 23 June https://t.co/yUgkRxeJ7K https://t.co/TGheCb7Y42",leave,labour ’ s tom watson : workers ' rights the economy amp ; our security are all at stake on <number> june <url> <url>
Labour’s Tom Watson: Vote REMAIN on 23 June for a brighter &amp; better off Britain https://t.co/yUgkRxeJ7K https://t.co/Tit61hMoGL,stay,labour ’ s tom watson : vote remain on <number> june for a brighter amp ; better off britain <url> <url>
"RT @UKLabourIN: Leaders of Birmingham, Bristol, Cardiff, Glasgow, Liverpool, Leeds, Manchester, Newcastle, Nottingham and Sheffield: https:…",stay,rt : leaders of birmingham bristol cardiff glasgow liverpool leeds manchester newcastle nottingham and sheffiel <smile> https : …
"WATCH: Gordon Brown makes the positive, principled &amp; progressive case for Britain #StrongerIn Europe
https://t.co/RwStA245YQ",stay,watch : gordon brown makes the positive principled amp ; progressive case for britain <hashtag> europe <url>
"Liverpool Echo: “Liverpool isn’t a great British city, it’s a magnificent European one.” https://t.co/hoEnT3GC4E https://t.co/qXgJ0aEQw3",leave,liverpool echo : “ liverpool isn ’ t a great british city it ’ s a magnificent european one ” <url> <url>
"Tom Watson, Labour deputy leader is clear: this is not a time to stand alone, but to work together: https://t.co/vJbcJvV4iZ",leave,tom watson labour deputy leader is clear : this is not a time to stand alone but to work together : <url>
Labour deputy leader Tom Watson: vote REMAIN on 23 June for a stronger Britain for you &amp; your family https://t.co/eiEXZnvjhJ,stay,labour deputy leader tom watson : vote remain on <number> june for a stronger britain for you amp ; your family <url>
RT @LambethLabourIN: Your vote in the #EUref is a once in a lifetime decision - every single vote counts! #StrongerIn #VoteRemain https://t…,stay,rt : your vote in the <hashtag> is a once in a lifetime decision - every single vote counts <hashtag> <hashtag> <url> …
"RT @bbckamal: Breaking: Bank of England strengthens its warnings on EU referendum risk - saying uncertainty could ""spill-over"" into global…",leave,"rt : breaking : bank of england strengthens its warnings on eu referendum risk - saying uncertainty could "" spill-over "" into global …"
RT @bbckamal: Bank of England says sterling volatility has increased due to referendum risk,stay,rt : bank of england says sterling volatility has increased due to referendum risk
"RT @Peston: Bank of England warns Brexit could lead to ""a materially lower path for growth and a notably higher path for inflation"".",stay,"rt : bank of england warns brexit could lead to "" a materially lower path for growth and a notably higher path for inflation """
RT @UKLabourIN: Vote Remain on 23 June &amp; then support our campaign for changes we want to see here and across Europe - @jeremycorbyn https:…,stay,rt : vote remain on <number> june amp ; then support our campaign for changes we want to see here and across europe - https : …
New Statesman becomes the latest major publication to say “vote REMAIN”: https://t.co/zPHowAiUPT https://t.co/ELRUZ6Pfmz,leave,new statesman becomes the latest major publication to say “ vote remain ” : <url> <url>
RT @Avaaz: Let's tell the truth about #Brexit -- share this to help promote a more honest conversation across Britain: https://t.co/Lthi0je…,leave,rt : let's tell the truth about <hashtag> - - share this to help promote a more honest conversation across britain : <url> …
Gordon Brown on how the EU provides MORE jobs and MORE opportunities in Britain: https://t.co/FQawugtf9k,leave,gordon brown on how the eu provides more jobs and more opportunities in britain : <url>
"RT @UKLabourIN: ""In 1980s, what stood between our communities &amp; further devastation was EU structural, regional &amp; social funds"" https://t.c…",stay,"rt : "" in <number> s what stood between our communities amp ; further devastation was eu structural regional amp ; social funds "" <url> …"
"RT @UKLabourIN: ""All my political life I've fought for jobs. And for jobs we need to send exports to where we sell most: the EU."" https://t…",leave,"rt : "" all my political life i've fought for jobs and for jobs we need to send exports to where we sell most : the eu "" <url> …"
"RT @UKLabourIN: We should be leading in Europe, not leaving it - Gordon Brown. Agree with Gordon? RT https://t.co/ddNs5r1QOH",leave,rt : we should be leading in europe not leaving it - gordon brown agree with gordon rt <url>
RT @NWStrongerIn: There is no route to greater employment for young people that doesn't lead through the European Union - Gordon Brown http…,leave,rt : there is no route to greater employment for young people that doesn't lead through the european union - gordon brown http …
"RT @UKLabourIN: America, Australia, the Commonwealth all say Britain should Remain. Only Donald Trump says leave - Gordon Brown https://t.c…",stay,rt : america australia the commonwealth all say britain should remain only donald trump says leave - gordon brown <url> …
RT @UKLabourIN: The biggest job creator over the next 10 years will be the single market of the EU - Gordon Brown. https://t.co/fhQ2i84wuE,leave,rt : the biggest job creator over the next <number> years will be the single market of the eu - gordon brown <url>
"RT @StrongerInPress: Gordon Brown: If you vote to Remain, Labour will fight for stronger workers' rights across Europe #StrongerIn",stay,rt : gordon brown : if you vote to remain labour will fight for stronger workers ' rights across europe <hashtag>
"RT @StrongerInPress: Gordon Brown: Australia, the US, the Commonwealth all want us to stay in Europe. Only Trump wants us to leave #Stronge…",stay,rt : gordon brown : australia the us the commonwealth all want us to stay in europe only trump wants us to leave <hashtag>
"RT @TheresaMEP: ""The biggest job creator over the next 10 years will be the EU and the single market"" - Gordon Brown #VoteRemain #EUref #Te…",stay,"rt : "" the biggest job creator over the next <number> years will be the eu and the single market "" - gordon brown <hashtag> <hashtag> <hashtag>"
"RT @TheGreenParty: It's barely been mentioned in the #EURef debate, but #June23 is the green decision of a lifetime. #GreenerIN
https://t.c…",stay,rt : it's barely been mentioned in the <hashtag> debate but <hashtag> is the green decision of a lifetime <hashtag> <url> …
RT @LibDems: Britain is at its best working together in Europe. Let's not cut ourselves off from the world. #INtogether https://t.co/oaxHLl…,stay,rt : britain is at its best working together in europe let's not cut ourselves off from the world <hashtag> <url> …
"RT @UKLabour: In seven days we'll be voting Remain for jobs, workers' rights, lower prices &amp; our NHS. RT if you are too #EUref https://t.co…",stay,rt : in seven days we'll be voting remain for jobs workers ' rights lower prices amp ; our nhs rt if you are too <hashtag> <url> …
RT @UKLabourIN: LIVE: Gordon Brown &amp; John McDonnell are making Labour's case for remaining in the EU: https://t.co/pt0j0YmY3q https://t.co/…,stay,rt : live : gordon brown amp ; john mcdonnell are making labour's case for remaining in the eu : <url> <url> / …
Not ONE prominent health organisation has backed Leave campaign’s claims on NHS. NOT ONE. https://t.co/JMO0nw8N1W https://t.co/O1c7z7pYNE,stay,not one prominent health organisation has backed leave campaign ’ s claims on nhs not one <url> <url>
RT @MENnewsdesk: Six reasons why Greater Manchester is better off in Europe https://t.co/F3XPPMgL6k,stay,rt : six reasons why greater manchester is better off in europe <url>
RT @LivEchonews: Why staying in Europe is right for the New Liverpool https://t.co/5ym3OG5SSW,stay,rt : why staying in europe is right for the new liverpool <url>
RT @GaryLineker: Wonderful piece by AA Gill. https://t.co/jk82NrjfsF,leave,rt : wonderful piece by aa gill <url>
RT @StrongerInPress: And the Liverpool Echo's come out https://t.co/DHPDsawdSK,leave,rt : and the liverpool echo's come out <url>
"RT @unitetheunion: 1 week to go 
VIDEO: Len McCluskey’s #EUref message – Vote jobs, Vote rights #VoteRemain https://t.co/uQgoiYX7et https:/…",stay,rt : <number> week to go video : len mccluskey ’ s <hashtag> message – vote jobs vote rights <hashtag> <url> https : / …
"RT @weareeuropeuk: Giving this a tweet, thanks to @StrongerIn @StrongerInPress https://t.co/k26qfXqD6G",leave,rt : giving this a tweet thanks to <url>
"John Semtanu, the Archbishop of York, slams the Leave campaign’s “streets of gold” promises:
https://t.co/tPmRMX6QAb",stay,john semtanu the archbishop of york slams the leave campaign ’ s “ streets of gold ” promises : <url>
"RT @WalesOnline: Western Mail front page for Monday June 13
#EUref https://t.co/zHzhv11TV8",stay,rt : western mail front page for monday june <number> <hashtag> <url>
RT @NEStrongerIn: Remain is the best thing for the North East. The Newcastle Journal backs @StrongerIn this morning https://t.co/pbgeUE2Por,stay,rt : remain is the best thing for the north east the newcastle journal backs this morning <url>
RT @MENnewsdesk: The front page of today's Manchester Evening News https://t.co/YVNd2JEioS https://t.co/K2Kf6u6fiy,leave,rt : the front page of today's manchester evening news <url> <url>
RT @TheVoiceNews: A vote to remain in the EU protects rights of black workers and challenges discrimination. Out tomorrow #StrongerIn https…,stay,rt : a vote to remain in the eu protects rights of black workers and challenges discrimination out tomorrow <hashtag> https …
RT @RealMattLucas: Remain,stay,rt : remain
"Mark Carney, Bank of England Governor, is clear: leaving Europe could mean recession. Leaving is a leap in the dark https://t.co/azKuJyiB03",leave,mark carney bank of england governor is clear : leaving europe could mean recession leaving is a leap in the dark <url>
"RT @UKLabour: This time next week, vote for jobs, workers' rights, lower prices &amp; our NHS. Vote Remain. RT ↓
#LabourInForBritain https://t.…",stay,rt : this time next week vote for jobs workers ' rights lower prices amp ; our nhs vote remain rt ↓ <hashtag> <url> …
RT @CraigBennett3: This appeared in a Dutch newspaper today. It's very touching. Always have liked the Dutch. #VoteRemain #EUref https://t.…,stay,rt : this appeared in a dutch newspaper today it's very touching always have liked the dutch <hashtag> <hashtag> <url> …
"New Statesman: ""peace &amp; prosperity our ancestors strove for are too often taken for granted"" https://t.co/zPHowAAvHr https://t.co/bzjnPHwUFA",leave,"new statesman : "" peace amp ; prosperity our ancestors strove for are too often taken for granted "" <url> <url>"
"RT @UKLabourIN: Jeremy Corbyn, the entire shadow cabinet &amp; trade union leaders are voting to Remain in the EU. With us? RT https://t.co/We8…",stay,rt : jeremy corbyn the entire shadow cabinet amp ; trade union leaders are voting to remain in the eu with us rt <url> …
Not ONE prominent health organisation has backed Leave campaign’s claims on NHS. NOT ONE. https://t.co/JMO0nw8N1W https://t.co/kBk61dACCX,stay,not one prominent health organisation has backed leave campaign ’ s claims on nhs not one <url> <url>
"RT @BBCNews: Leaving EU would be ""grave threat"" to local economies, 10 Labour city leaders say #EUref
https://t.co/phXSujWQon https://t.co/…",leave,"rt : leaving eu would be "" grave threat "" to local economies <number> labour city leaders say <hashtag> <url> <url> / …"
Manchester Evening News backs Remain #StrongerIN https://t.co/KtwqQmJOOB,stay,manchester evening news backs remain <hashtag> <url>
Strong endorsement from The Journal: they're backing Remain because it's 'best for the North East' https://t.co/rn7OTmPxdD,stay,strong endorsement from the journal : they're backing remain because it's ' best for the north east ' <url>
"Economic experts the FT says leaving Europe would ""would be a gratuitous act of self-harm."" https://t.co/MxgRiZ90Vj https://t.co/AkPqmY469i",leave,"economic experts the ft says leaving europe would "" would be a gratuitous act of self-harm "" <url> <url>"
"RT @StrongerInPress: Michael Howard asked on @BBCBreakfast if leaving EU will affect UK economy and jobs. His answer: ""nobody knows"" #Stron…",leave,"rt : michael howard asked on if leaving eu will affect uk economy and jobs his answer : "" nobody knows "" <hashtag>"
Important endorsement from The Voice Newspaper - they're backing Remain to protect the rights of black workers. https://t.co/hL1VsGvnKL,stay,important endorsement from the voice newspaper - they're backing remain to protect the rights of black workers <url>
"RT @wdjstraw: Lamont, Lawson, Howard &amp; IDS must know they're losing the argument when they attack Bank of England's independence &amp; integrit…",stay,rt : lamont lawson howard amp ; ids must know they're losing the argument when they attack bank of england's independence amp ; integrit …
"""The vote must be “Remain”.” Economic experts @FT know UK jobs are only safe if we REMAIN: https://t.co/MxgRiZ90Vj https://t.co/83xljFjJ4h",stay,""" the vote must be “ remain ” ” economic experts know uk jobs are only safe if we remain : <url> <url>"
"“We are Great Britain."" @FT says vote REMAIN: https://t.co/MxgRiZ90Vj https://t.co/YRsmf57nsc",stay,"“ we are great britain "" says vote remain : <url> <url>"
"The Archbishop of York warns: the Leave campaign's promises of ""streets of gold"" are not what they seem:
https://t.co/DYzsuoxsHv",stay,"the archbishop of york warns : the leave campaign's promises of "" streets of gold "" are not what they seem : <url>"
.@pitchfork on how #Brexit would damage UK music - from live gigs to EU arts funding: https://t.co/MFTBnAo5PO https://t.co/TLAyzJmSRL,stay,on how <hashtag> would damage uk music - from live gigs to eu arts funding : <url> <url>
"Michael Gove dismisses the chaos Brexit would cause as “bumps in the road” - but these ""bumps"" would hit UK families
https://t.co/i9bkWI554T",leave,"michael gove dismisses the chaos brexit would cause as “ bumps in the road ” - but these "" bumps "" would hit uk families <url>"
"Rolls-Royce, which accounts for 1 in every £50 of UK exports, says it would be hit by Brexit https://t.co/bQTwr2Ju67 https://t.co/XuQ29X0WbR",leave,rolls-royce which accounts for <number> in every <number> of uk exports says it would be hit by brexit <url> <url>
"WATCH: Rolls-Royce boss on why one of UK’s biggest exporters is backing a vote to REMAIN in Europe:
https://t.co/q6enI4qlwa",stay,watch : rolls-royce boss on why one of uk ’ s biggest exporters is backing a vote to remain in europe : <url>
"RT @ben4ipswich: MG says ""there will be bumps in the road"" come #Brexit. Michael - those ""bumps"" - they're my constituents' jobs.",stay,"rt : mg says "" there will be bumps in the road "" come <hashtag> michael - those "" bumps "" - they're my constituents ' jobs"
"WATCH: Rolls-Royce chief on #Brexit: ""we're going to be held back by uncertainty"":
https://t.co/Cq3ooNLqQC",stay,"watch : rolls-royce chief on <hashtag> "" we're going to be held back by uncertainty "" : <url>"
Our NHS is already stretched. Experts say the economic damage from Brexit would hit it hard https://t.co/JMO0nwqoqw https://t.co/9pHE9Pi0Zb,stay,our nhs is already stretched experts say the economic damage from brexit would hit it hard <url> <url>
"“Music, culture, traveling, discovering: That’s what makes us Europeans.” Vote REMAIN: https://t.co/MFTBnAFHeo https://t.co/jw57gYsGI4",stay,“ music culture traveling discovering : that ’ s what makes us europeans ” vote remain : <url> <url>
"#Brexit would ""limit any company's ability to plan &amp; budget for the future"" Rolls-Royce boss https://t.co/bQTwr2Ju67 https://t.co/t9E4b9nn8t",leave,"<hashtag> would "" limit any company's ability to plan amp ; budget for the future "" rolls-royce boss <url> <url>"
"Brexit cost to NHS could be 1/4 of its annual budget within 4 years, new analysis shows: https://t.co/50EtSrXxeq https://t.co/AP2qcBYK60",stay,brexit cost to nhs could be <number> / <number> of its annual budget within <number> years new analysis shows : <url> <url>
The BMJ break with tradition to declare their position: vote REMAIN on 23 June for our NHS. https://t.co/JMO0nwqoqw https://t.co/qw1ATUbJHH,stay,the bmj break with tradition to declare their position : vote remain on <number> june for our nhs <url> <url>
"""Do I trust them or do I trust you?"" Important #bbcqt moment as Leave are called out on inaccurate science claims.
https://t.co/KQhGzbItKz",stay,""" do i trust them or do i trust you "" important <hashtag> moment as leave are called out on inaccurate science claims <url>"
British Medical Journal are the latest independent experts to say our NHS is stronger IN:  https://t.co/JMO0nwqoqw https://t.co/HCgqyAzn0x,stay,british medical journal are the latest independent experts to say our nhs is stronger in : <url> <url>
"Summary of #bbcqt: Gove tries to dismiss ""the bumps in the road"" from leaving. Audience members explain how that will hit their daily lives.",stay,"summary of <hashtag> gove tries to dismiss "" the bumps in the road "" from leaving audience members explain how that will hit their daily lives"
"RT @wdjstraw: IFS: Brexit would not make £8bn available for NHS https://t.co/faNI1xscJi &lt;&lt; Gove on such shaky ground, it's virtually an ear…",leave,rt : ifs : brexit would not make <number> bn available for nhs <url> lt <neutralface> t ; gove on such shaky ground it's virtually an ear …
"From more jobs &amp; lower prices to safer streets and workplaces, being in the EU is great for everyone: https://t.co/dHyUQpE0RU #bbcqt",stay,from more jobs amp ; lower prices to safer streets and workplaces being in the eu is great for everyone : <url> <hashtag>
Being in Europe gives the UK more influence in the world. Leaving would mean cutting ourselves off. #bbcqt,stay,being in europe gives the uk more influence in the world leaving would mean cutting ourselves off <hashtag>
"The choice facing Britain is clear: Britain #StrongerIn Europe, or a leap into the dark https://t.co/sDAlD5WTFW #bbcqt",stay,the choice facing britain is clear : britain <hashtag> europe or a leap into the dark <url> <hashtag>
"RT @wdjstraw: ""Wolf in sheeps' clothing"" says audience member of Michael Gove. #StrongerIn #bbcqt",stay,"rt : "" wolf in sheeps ' clothing "" says audience member of michael gove <hashtag> <hashtag>"
Obama: “The European Union doesn’t moderate British influence – it magnifies it.” Britain is #Strongerin https://t.co/WWgioH9b8f #bbcqt,stay,obama : “ the european union doesn ’ t moderate british influence – it magnifies it ” britain is <hashtag> <url> <hashtag>
"RT @wdjstraw: Gove completely disingenuous. No saving if we leave the EU, only a cost. IFS says public finances hit by up to £40bn #Stronge…",stay,rt : gove completely disingenuous no saving if we leave the eu only a cost ifs says public finances hit by up to <number> bn <hashtag>
"RT @UKLabourIN: The Leave campaign has been told that they shouldn't use this ""misleading"" £350m sum. #bbcqt https://t.co/4gAB3sACGz",stay,"rt : the leave campaign has been told that they shouldn't use this "" misleading "" <number> m sum <hashtag> <url>"
If only every partnership worked this well: we get almost £10 back for every £1 put into the EU https://t.co/mHA6MowEJP #bbcqt,leave,if only every partnership worked this well : we get almost <number> back for every <number> put into the eu <url> <hashtag>
RT @StrongerInPress: Leaving the EU will create a £40bn hole in our public finances. There's no saving #StrongerIn #bbcqt,stay,rt : leaving the eu will create a <number> bn hole in our public finances there's no saving <hashtag> <hashtag>
The IFS say our economy will be hit and we'll be less well off if we leave. #bbcqt,stay,the ifs say our economy will be hit and we'll be less well off if we leave <hashtag>
"Gove: ""If we leave the European Union there'll be bumps in the road, inevitably"". Don't risk it. Vote Remain. #bbcqt
https://t.co/McGd7K1s8d",stay,"gove : "" if we leave the european union there'll be bumps in the road inevitably "" don't risk it vote remain <hashtag> <url>"
"RT @wdjstraw: Bank of England says there would be a recession, wages &amp; jobs would fall, inflation would rise, mortgage rates up #StrongerIn…",stay,rt : bank of england says there would be a recession wages amp ; jobs would fall inflation would rise mortgage rates up <hashtag>
"No, Michael. If the EU wanted to scrap or otherwise change our EU budget rebate, Britain could veto it. #bbcqt https://t.co/HMSpo70AXW",leave,no michael if the eu wanted to scrap or otherwise change our eu budget rebate britain could veto it <hashtag> <url>
Gove is misleading the British public by using a figure that has been universally discredited. #bbcqt https://t.co/Wwf8KlyLmn,stay,gove is misleading the british public by using a figure that has been universally discredited <hashtag> <url>
"Mark Carney, Governor of the Bank of England is clear: a vote to leave could mean higher mortgage rates. #bbcqt https://t.co/8DE8d9J8V5",stay,mark carney governor of the bank of england is clear : a vote to leave could mean higher mortgage rates <hashtag> <url>
RT @StrongerInPress: The Bank of England says mortgage rates will rise if we leave the EU #bbcqt,stay,rt : the bank of england says mortgage rates will rise if we leave the eu <hashtag>
The Bank of England is clear: leaving Europe could push up prices. Vote remain to keep prices low. https://t.co/QsE3GT7HLA #bbcqt,stay,the bank of england is clear : leaving europe could push up prices vote remain to keep prices low <url> <hashtag>
RT @UKLabour: We’re standing up for the jobs and rights millions of us depend upon - which are only guaranteed by the EU. #EUref https://t.…,stay,rt : we ’ re standing up for the jobs and rights millions of us depend upon - which are only guaranteed by the eu <hashtag> <url> …
"EU membership means that 15,000 students a year study abroad. Inside Europe means more opportunities for young people. #Strongerin #bbcqt",stay,eu membership means that <number> students a year study abroad inside europe means more opportunities for young people <hashtag> <hashtag>
"From China &amp; India to USA &amp; Italy, world leaders agree that the UK is better off IN. https://t.co/o9PcwO0yQw https://t.co/mcgFhN5F1U #bbcqt",leave,from china amp ; india to usa amp ; italy world leaders agree that the uk is better off in <url> <url> <hashtag>
"Gove said ppl who wanted to ""pull up barriers"" were ""poisoning"" immigration debate. What does he say now? #bbcqt https://t.co/3Agqsq80et",stay,"gove said ppl who wanted to "" pull up barriers "" were "" poisoning "" immigration debate what does he say now <hashtag> <url>"
"Being in Europe gives people from the UK the right to work, live, travel and study abroad. #bbcqt",leave,being in europe gives people from the uk the right to work live travel and study abroad <hashtag>
Bosses from EIGHTEEN different industries have said we're better off IN Europe. The business view is clear. #bbcqt https://t.co/I1tr06MhQY,leave,bosses from eighteen different industries have said we're better off in europe the business view is clear <hashtag> <url>
"Here's what #Brexit would mean for Britain, according to independent economists. Pls RT. #bbcqt https://t.co/fKII5tWeSz",stay,here's what <hashtag> would mean for britain according to independent economists pls rt <hashtag> <url>
"Britain gets £66 million investment from the EU EVERY DAY into UK, creating jobs &amp; boosting growth. #bbcqt  https://t.co/9B0TdR5wBS",stay,britain gets <number> million investment from the eu every day into uk creating jobs amp ; boosting growth <hashtag> <url>
RT @BBCRealityCheck: Turkey is still a long way off joining the EU: https://t.co/5mGWWymiVZ #EUref #bbcqt,stay,rt : turkey is still a long way off joining the eu : <url> <hashtag> <hashtag>
RT @wdjstraw: Australia has double the number of immigrants per head as the UK under their points-based system #StrongerIn #bbcqt,stay,rt : australia has double the number of immigrants per head as the uk under their points-based system <hashtag> <hashtag>
RT @wdjstraw: Michael Gove admits that it would take four years to leave the EU. Four years of chaos &amp; uncertainty #StrongerIn #bbcqt,stay,rt : michael gove admits that it would take four years to leave the eu four years of chaos amp ; uncertainty <hashtag> <hashtag>
RT @catherinemep: Under EU law we have the European Arrest Warrant which we use to deport 1000s of criminal each year. Just ask police offi…,leave,rt : under eu law we have the european arrest warrant which we use to deport <number> s of criminal each year just ask police offi …
Undecided in the referendum? Here are SIX reasons why we all have a brighter future by staying IN Europe. https://t.co/17jwWNYaSS #bbcqt,stay,undecided in the referendum here are six reasons why we all have a brighter future by staying in europe <url> <hashtag>
RT @StrongerInPress: Gove said we wouldn't leave in this parliament - he's just making it up #StrongerIn #bbcqt,stay,rt : gove said we wouldn't leave in this parliament - he's just making it up <hashtag> <hashtag>
"In just a year, Gove's tone on immigration has changed completely. #bbcqt https://t.co/3Agqsq80et",leave,in just a year gove's tone on immigration has changed completely <hashtag> <url>
We can't tackle big issues in isolation - it's just not that simple. Wrecking our economy through #Brexit will NOT tackle immigration #bbcqt,leave,we can't tackle big issues in isolation - it's just not that simple wrecking our economy through <hashtag> will not tackle immigration <hashtag>
RT @StrongerInPress: Migration Watch say @vote_leave's plan would increase immigration #StrongerIn #bbcqt,stay,rt : migration watch say ' s plan would increase immigration <hashtag> <hashtag>
"RT @wdjstraw: Split in Vote Leave: Gove scaremongering says Turkey ""inevitably"" joining. Not what Boris says... #bbcqt https://t.co/TKOWsje…",stay,"rt : split in vote leave : gove scaremongering says turkey "" inevitably "" joining not what boris says <hashtag> <url> …"
FACT CHECK: Australia has double the immigration the UK has. #bbcqt,stay,fact check : australia has double the immigration the uk has <hashtag>
Wrong. The UK can refuse entry on the grounds of public security and we have done so thousands of times. #bbcqt https://t.co/HMSpo70AXW,stay,wrong the uk can refuse entry on the grounds of public security and we have done so thousands of times <hashtag> <url>
Former CRE head is clear - leaving Europe will NOT solve immigration issues: https://t.co/BVEeqk3sVi https://t.co/NC9OzKSEn1 #bbcqt,stay,former cre head is clear - leaving europe will not solve immigration issues : <url> <url> <hashtag>
Let's be clear: wrecking our economy by leaving the Single Market is NOT the way to tackle immigration. #bbcqt,stay,let's be clear : wrecking our economy by leaving the single market is not the way to tackle immigration <hashtag>
"What has the EU ever done for us? How about these: dozens of positive, uplifting reasons to vote REMAIN #bbcqt . https://t.co/dHyUQpE0RU",stay,what has the eu ever done for us how about these : dozens of positive uplifting reasons to vote remain <hashtag> <url>
No evidence at all from Michael Gove's claims on Turkey. Scaremongering. #bbcqt,leave,no evidence at all from michael gove's claims on turkey scaremongering <hashtag>
RT @StrongerInPress: Britain has a veto over all 34 accession chapters. And then we have another veto at the end. Turkey isn't joining the…,stay,rt : britain has a veto over all <number> accession chapters and then we have another veto at the end turkey isn't joining the …
RT @StrongerInPress: We have a veto over new countries joining the EU #StrongerIn #bbcqt,stay,rt : we have a veto over new countries joining the eu <hashtag> <hashtag>
RT @UKLabourIN: The Leave campaign is trying to mislead and scare voters about Turkey joining the EU - Britain has a veto. #bbcqt https://t…,stay,rt : the leave campaign is trying to mislead and scare voters about turkey joining the eu - britain has a veto <hashtag> <url> …
"RT @lucycthomas: Boris says Turkey joining ""not remotely on the cards"" #BBCQT #StrongerIn https://t.co/IFm2pN0Ehs",stay,"rt : boris says turkey joining "" not remotely on the cards "" <hashtag> <hashtag> <url>"
Boris Johnson said Turkey joining the EU is not remotely on the cards. #bbcqt,leave,boris johnson said turkey joining the eu is not remotely on the cards <hashtag>
Gove used to speak differently about immigration: now he's dancing to Nigel Farage and UKIP's tune. #bbcqt https://t.co/3Agqsq80et,leave,gove used to speak differently about immigration : now he's dancing to nigel farage and ukip's tune <hashtag> <url>
"The UK can veto ANY new member from joining the EU - if we don't want Turkey to join, we can just say no. #bbcqt https://t.co/lglsaa3IZa",leave,the uk can veto any new member from joining the eu - if we don't want turkey to join we can just say no <hashtag> <url>
Michael Gove laying out a detailed plan for Britain's future outside of Europe...#bbcqt https://t.co/0rYjZpy0D1,stay,michael gove laying out a detailed plan for britain's future outside of europe <hashtag> <url>
Gove will blame anything on the EU. He said it destroyed his father's business. His own father denies it. #bbcqt https://t.co/DeTnfkZVik,leave,gove will blame anything on the eu he said it destroyed his father's business his own father denies it <hashtag> <url>
Watching #bbcqt and want to help secure Britain's place in Europe? Sign up to volunteer here: https://t.co/QWpZVEDgh3,stay,watching <hashtag> and want to help secure britain's place in europe sign up to volunteer here : <url>
RT @UKLabourIN: The Leave campaign say we can't control our borders but we retain full control if we stay in the EU. #bbcqt https://t.co/aa…,stay,rt : the leave campaign say we can't control our borders but we retain full control if we stay in the eu <hashtag> <url> …
EIGHT out of ten UK business want us to stay in Europe – UK businesses &amp; jobs are #StrongerIn Europe https://t.co/UuPxpQq4mW  #bbcqt,stay,eight out of ten uk business want us to stay in europe – uk businesses amp ; jobs are <hashtag> europe <url> <hashtag>
"The benefits of being IN: for every £1 spent, we get almost £10 back through increased trade &amp; low prices https://t.co/mHA6MowEJP #bbcqt",leave,the benefits of being in : for every <number> spent we get almost <number> back through increased trade amp ; low prices <url> <hashtag>
RT @catherinemep: It is NOT a fact that Turkey are joining. It is absolutely clear in treaties that each member has a veto. Gove must stop…,leave,rt : it is not a fact that turkey are joining it is absolutely clear in treaties that each member has a veto gove must stop …
RT @StrongerInPress: This is not true. These countries will not be joining the EU #StrongerIn #bbcqt,stay,rt : this is not true these countries will not be joining the eu <hashtag> <hashtag>
RT @johnprescott: Gove's Brexit EU trade deal is like a husband telling his wife he wants a divorce but will stay in the house &amp; pay no mor…,stay,rt : gove's brexit eu trade deal is like a husband telling his wife he wants a divorce but will stay in the house amp ; pay no mor …
RT @StrongerInPress: PM's renegotiation means Britain will not have to contribute to Eurozone bailouts #bbcqt,leave,rt : pm's renegotiation means britain will not have to contribute to eurozone bailouts <hashtag>
Michael Gove dismissed expert opinion earlier. Now he's quoting expert opinion. #bbcqt,leave,michael gove dismissed expert opinion earlier now he's quoting expert opinion <hashtag>
Irresponsible. Turkey will NOT join the EU any time soon - and UK can veto ANY new member from joining. #bbcqt https://t.co/lglsaa3IZa,leave,irresponsible turkey will not join the eu any time soon - and uk can veto any new member from joining <hashtag> <url>
The European Central Bank have confirmed: leave the EU &amp; we lose the benefits of the Single Market. #bbcqt https://t.co/G6ASwfLlXV,stay,the european central bank have confirme <smile> leave the eu amp ; we lose the benefits of the single market <hashtag> <url>
RT @UKLabourIN: Over 3 million British jobs are linked to the EU. #bbcqt https://t.co/0YaMyGQskn,leave,rt : over <number> million british jobs are linked to the eu <hashtag> <url>
"RT @StrongerInPress: Who are Gove's experts? His only expert says leaving Europe would ""eliminate"" manufacturing in Britain #bbcqt",leave,"rt : who are gove's experts his only expert says leaving europe would "" eliminate "" manufacturing in britain <hashtag>"
RT @StrongerInPress: 9/10 economists think our economy would be hit. that means jobs would be lost #StrongerIn #bbcqt,stay,rt : <number> / <number> economists think our economy would be hit that means jobs would be lost <hashtag> <hashtag>
"World Bank, OECD, Bank of England, IFS, LSE, HM Treasury, PwC, are all clear: our economy is #Strongerin https://t.co/RzztV6MGJa #bbcqt",stay,world bank oecd bank of england ifs lse hm treasury pwc are all clear : our economy is <hashtag> <url> <hashtag>
Over 3 million UK jobs are linked to our trade with the EU. Being in the EU creates more UK jobs. #bbcqt,stay,over <number> million uk jobs are linked to our trade with the eu being in the eu creates more uk jobs <hashtag>
